Country	MedWealth	MeanWealth	NumAdults
Switzerland	227891	564653	6866
Australia	181361	386058	18655
Iceland	165961	380868	250
Hong Kong(PRC)	146887	489258	6267
Luxembourg	139789	358003	461
Belgium	117093	246135	8913
New Zealand	116433	304124	3525
Japan	110408	238104	104963
Canada	107004	294255	29136
Ireland	104842	272310	3491
France	101942	276121	49722
The United Kingdom	97452	280049	51209
Singapore	96967	297873	4637
Spain	95360	207531	37450
Austria	94070	274919	7092
Italy	91889	234139	48509
Malta	76016	143566	349
South Korea	72198	175015	41721
Norway	70627	267348	4100
Taiwan	70191	210525	19296
Qatar	69671	147745	2223
United States	65904	432365	245140
Denmark	58784	284022	4475
Israel	58066	196568	5499
Finland	55532	183124	4341
Slovenia	50380	122508	1675
Kuwait	46218	131269	3086
Portugal	44025	131088	8373
Sweden	41582	265260	7723
Slovakia	40432	66171	4340
Greece	40000	96110	9021
United Arab Emirates	35315	117060	7874
Germany	35313	216654	67668
Netherlands	31057	279077	13326
Bahrain	30946	87108	1219
Croatia	29183	62804	3329
Cyprus	28803	116207	918
Estonia	24915	78458	1028
Montenegro	24242	53484	477
Poland	22600	57873	30598
Seychelles	22572	57835	68
Lithuania	22261	50254	2296
Aruba	21750	58033	80
China	20942	58544	1090231
Mauritius	20875	50796	951
Czechia	20854	64663	8509
Barbados	20497	64658	214
Bahamas	20129	76507	292
Tonga	19709	47889	59
Romania	19582	43074	15517
Chile	19231	56972	13331
Bulgaria	18948	42686	5697
Hungary	17666	44321	7803
Saudi Arabia	16599	67032	23208
Trinidad and Tobago	14888	41094	1006
Albania	14731	31366	2225
Oman	14723	43291	3608
Brunei	13634	44541	304
St. Lucia	13418	36586	133
Latvia	13348	60347	1536
Samoa	13286	37066	106
Panama	13259	39980	2711
Bosnia and Herzegovina	13037	27873	2815
Grenada	12218	45272	71
Lebanon	12198	55226	4205
Costa Rica	11793	33683	3547
Uruguay	11084	30320	2501
Jordan	10947	26475	5512
Serbia	10737	25046	6798
El Salvador	10148	29870	4087
Mexico	9944	31553	85594
Dominica	9447	33306	55
Malaysia	8940	31270	21823
Maldives	8555	23297	315
Libya	8330	19473	4169
Armenia	8309	19517	2177
Sri Lanka	8283	20628	14408
Belarus	7931	16590	7390
Iraq	7331	16540	19788
Turkmenistan	6974	15691	3607
Antigua and Barbuda	6961	24964	71
Jamaica	6798	20878	2002
Kazakhstan	6642	26317	12147
Turkey	6568	24398	55543
South Africa	6476	21380	36027
Ecuador	6399	19144	10725
Fiji	6126	15598	580
Vanuatu	6098	15090	157
Gabon	6035	15113	1149
Moldova	5855	12804	3193
Equatorial Guinea	5545	17023	724
St. Vincent and the Grenadines	5508	20088	75
Namibia	5502	17220	1395
Tunisia	5395	13853	8111
Colombia	5325	16411	34254
Solomon Islands	5260	12933	321
Iran	5254	13437	57686
Georgia	5226	12609	2932
Azerbaijan	5150	11865	6997
Brazil	5031	23550	150089
Peru	4989	17843	21132
Egypt	4900	15395	58309
Botswana	4550	14684	1409
Morocco	4010	12929	23613
Paraguay	3887	11865	4268
Bolivia	3843	11672	6678
Guyana	3829	11349	482
Russia	3683	27381	111481
Vietnam	3679	11712	68085
Kenya	3553	9791	25384
Thailand	3526	21853	53073
Algeria	3267	9348	26983
Belize	3166	10864	228
Argentina	3164	10256	30320
India	3042	14569	865783
Nicaragua	3005	9279	3937
Bangladesh	2787	6643	104872
Philippines	2663	12063	63365
Mongolia	2654	6135	1986
Timor-Leste	2453	5143	602
Kyrgyzstan	2412	5758	3721
Papua New Guinea	2120	6485	4611
Cambodia	2029	5395	9797
Laos	2002	6720	4042
Indonesia	1977	10545	172908
Eritrea	1910	4134	2526
Zimbabwe	1843	4734	8340
Pakistan	1766	4096	113388
Ghana	1706	4292	15377
Comoros	1679	5155	423
Senegal	1632	4265	7763
Tajikistan	1589	3602	5118
Suriname	1562	6089	373
Myanmar	1556	3323	34915
Sao Tome and Principe	1545	3654	98
Nepal	1510	3870	17585
Yemen	1467	4926	14580
Angola	1370	3649	13403
Ethiopia	1360	3085	52970
Tanzania	1282	3069	26837
Rwanda	1259	3435	6313
Nigeria	1249	4881	90731
Ukraine	1223	8792	34998
Djibouti	1120	2936	583
Cameroon	1036	2840	11754
Mauritania	976	2397	2310
Congo, Republic of	913	2701	2618
Syria	884	2179	9664
Benin	845	2166	5475
Liberia	820	2169	2350
Guinea	802	2185	6268
Zambia	784	2565	7926
Mali	773	1955	8088
Gambia	693	2141	969
Guinea-Bissau	655	1647	936
Afghanistan	640	1463	16838
Madagascar	626	1610	12909
Uganda	612	1603	18650
Burkina Faso	589	1440	8862
Togo	469	1241	3909
Malawi	468	1313	8798
Niger	463	1126	8909
Chad	435	1167	6551
Lesotho	384	1313	1233
Democratic Republic of the Congo	382	1084	37100
Mozambique	352	880	13814
Sierra Leone	278	693	3698
Burundi	250	609	5131
Central African Republic	244	749	2183
Sudan	218	534	20474
Haiti	214	723	6426